county,confirmed,deaths,state,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_with_access_to_exercise_opportunities,percent_excessive_drinking,percent_uninsured,percent_some_college,percent_unemployed,percent_children_in_poverty,percent_single_parent_households,percent_severe_housing_problems,overcrowding,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,percent_uninsured_2,median_household_income,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,population_2,percent_less_than_18_years_of_age,percent_65_and_over,percent_black,percent_asian,percent_hispanic,percent_female,percent_rural
Dauphin,99,1,Pennsylvania,17.386853318,18.523623861,33.5,82.778067885,18.777275132,6.6595234316,63.167852063,3.9770213423,20.5,40.999295348,14.10035387,1.6513927956,11.2,12.9,33.195041843,7.4768323505,57979,354.90552641,63.216754414,277097,22.50295023,16.962291183,17.377669192,4.9740704519,9.6442761921,51.562810135,13.323386796
Davidson,53,0,North Carolina,17.422171017,17.857970936,32.2,68.717690541,15.910450932,12.939621044,57.250504946,3.6523866587,23.2,30.250667254,14.953562788,2.942324202,15.8,13,32.16350353,15.960769995,47758,93.913522475,70.115012754,166614,21.942333777,18.2319613,9.4925996615,1.637917582,7.3115104373,51.079141009,47.384545488
Davidson,741,6,Tennessee,16.755521355,18.106899483,29.7,90.912920609,15.759931451,14.189949107,71.073031594,2.6320434522,25.4,40.205569831,16.987513007,2.7649769585,9.7,14.6,39.078199243,16.714878745,60799,630.49204258,54.119243045,692587,20.795510167,12.243227205,27.090892552,3.9336574322,10.415442392,51.734727911,3.4119432375
Davie,14,2,North Carolina,14.894970836,15.073575689,41.2,47.907371484,16.377445379,12.516668148,59.640651319,3.4189704015,15.5,25.623960067,10.194950463,2.0773410035,15.9,11.4,30.19876868,14.955952477,60801,29.32953781,77.779861241,42733,21.011864367,21.163971638,6.2434184354,0.8377600449,7.0086350128,51.211007886,70.288554801
Daviess,55,1,Kentucky,19.758897052,17.34145221,31.3,78.993544115,16.210686602,5.6115019884,63.875857091,3.9506018576,19.2,34.847107438,13.136456212,2.5585539715,12.3,13.5,36.739542686,6.6543182094,51441,178.80295042,66.813203376,101104,24.464907422,16.940971673,4.8989159677,1.8525478715,3.2431951258,51.140409875,27.016429399
Davis,137,2,Utah,11.089903829,8.8437250992,26.3,93.949667024,11.321222467,6.9584091417,75.634033829,2.9339007691,6.4,14.194106204,11.156339515,2.5327905925,7.6,10.8,29.389117913,8.3101898102,84381,205.51790673,77.598794537,351713,32.1199387,10.041425822,1.2066656621,2.095458513,9.9294026664,49.501724417,0.9194757226
Dawson,13,0,Georgia,13.541412955,14.59763835,28.1,95.902373489,17.362060972,17.213240955,59.918018179,3.3305647841,13.4,18.837395126,14.319248826,1.2323943662,16.4,8.4,31.956344417,19.51067369,68835,70.061218565,81.70129721,25083,20.675357812,20.113224096,0.7574851493,0.8731013037,4.8479049555,50.564127098,80.309001343
Dawson,5,0,Texas,25.453169093,16.164550294,29.2,68.307670064,17.883088687,21.163301601,36.361235807,4.3137254902,29.9,34.772344013,9.9307159353,1.03926097,16.7,12.1,32.626854115,25.963682701,43726,129.89559298,71.263304026,12619,25.596323005,14.92986766,5.1430382756,1.0698153578,58.094936207,45.146208099,16.294368539
De Soto,71,3,Louisiana,23.00137157,22.027191121,38,43.817527011,17.109879902,9.6149536062,45.677321157,5.7466989027,24.5,47.878144892,12.865497076,2.38791423,17.2,18.1,36.167425407,12.274391014,44457,50.663245883,73.619690202,27436,23.950284298,17.852456626,35.741361715,0.3899985421,2.9669047966,51.771395247,77.262154862
DeKalb,13,0,Alabama,25.958981492,21.028270793,29.2,45.037899563,12.458249532,17.319033941,45.800442955,3.8169205749,29.6,33.876822031,11.084240226,2.8819024587,12.8,12.4,35.815921616,22.811601151,39491,53.003998974,71.192407776,71385,24.077887511,17.261329411,1.448483575,0.5155144638,14.842053653,50.370526021,90.130644504
