county,confirmed,deaths,state,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_with_access_to_exercise_opportunities,percent_excessive_drinking,percent_uninsured,percent_some_college,percent_unemployed,percent_children_in_poverty,percent_single_parent_households,percent_severe_housing_problems,overcrowding,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,percent_uninsured_2,median_household_income,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,population_2,percent_less_than_18_years_of_age,percent_65_and_over,percent_black,percent_asian,percent_hispanic,percent_female,percent_rural
Abbeville,6,0,South Carolina,19.895035607,17.323519011,36.7,59.039225715,15.904724284,12.904608789,52.524476867,3.9769337841,30.8,37.117222547,14.315789474,0.4631578947,15.8,15.2,36.083828134,15.893652765,42412,11.569478929,76.255949233,24541,20.064382055,21.771728943,27.504991647,0.4115561713,1.5402795322,51.640112465,78.577330133
Acadia,65,2,Louisiana,20.890035316,21.534088073,38.4,42.525051398,19.778028886,10.665807234,43.559911476,5.373246493,35.4,33.415384615,12.271021849,3.509159126,11.4,15.1,32.357657993,13.977176785,40484,63.696998784,70.758730722,62190,25.846599132,15.261296028,17.925711529,0.3199871362,2.7271265477,51.210805596,51.69896233
Accomack,8,0,Virginia,20.08919894,18.31692932,36.3,37.395971535,15.480572436,16.649112857,45.12724118,3.8121942489,27,45.931681572,15.12301013,2.0984081042,15.9,14.1,36.750185269,19.386914245,42879,60.028971747,67.853145288,32412,20.535604097,23.565346168,27.971121807,0.7805750956,9.3391336542,51.200172776,100
Ada,360,3,Idaho,11.474881999,11.990700664,25.6,89.468734469,17.87623376,8.7432917648,73.77104829,2.4598711788,10.2,23.753214315,14.021197007,1.4557356608,7.9,12,26.296860375,11.067353765,66827,277.25357103,68.370461239,469966,23.775549721,14.424873289,1.24030249,2.8082882592,8.3146440381,49.939782878,5.4722006295
Adair,10,0,Missouri,21.401499805,20.528843188,27.9,78.318428555,18.929940413,10.602460531,65.321563682,3.513868066,19.9,29.515516856,17.970401691,0.7399577167,8.4,17.5,31.876806176,12.266112266,40395,45.798686547,60.04415011,25339,18.370890722,14.819053633,2.8493626426,2.2810687083,2.5652156754,51.876553929,37.852930839
Adair,14,0,Oklahoma,28.544651748,27.744408618,47.7,28.466252259,11.779265855,24.535132467,35.138162808,4.1712673292,34.9,38.335911982,15.428571429,5.6507936508,24.3,19.1,39.486644785,29.569257422,35156,16.672959667,68.574011883,22082,26.578208496,15.904356489,0.5343718866,0.8015578299,6.8155058419,50.117742958,83.295860336
Adams,294,9,Colorado,16.643578713,16.324605425,27.8,93.051904086,18.915457358,11.026551173,57.044557101,3.471144192,12.6,31.022795686,18.129133858,5.3732283465,7.7,8,31.037644759,13.842716398,70199,490.4027736,65.210248672,511868,26.525588628,10.468909953,3.1885173521,4.3706580603,40.448904796,49.504559769,3.6204464191
Adams,16,0,Mississippi,27.277446718,22.206161811,35.3,69.077623309,12.264235602,14.979845776,41.741927502,6.2131762185,40.4,66.357696399,12.775140268,2.3737591713,13.2,24.7,41.060812539,18.712503,33392,150.33542613,61.74058725,31192,20.066042575,18.831751731,52.37240318,0.512952039,11.259297256,47.906514491,37.226367774
Adams,8,0,Nebraska,15.752684918,14.59706455,36.7,81.628618799,18.543539763,8.7603305785,70.761245675,2.8706109869,14.4,26.176668914,10.455974843,0.9040880503,11,11.7,30.110432127,10.742477977,55167,53.446151505,68.245476003,31511,23.674272476,18.203167148,0.9964774206,1.3328678874,10.866046777,50.157088001,22.484376993
Adams,21,0,Pennsylvania,15.315659333,16.215083888,35.6,60.623033913,19.244002902,7.4929335756,57.325999,3.274614031,11.2,26.680224676,12.25503005,1.8813692187,8.5,8.3,34.656743284,8.4559198233,62877,113.49198873,77.236684429,102811,19.9920242,20.381087627,1.5961327095,0.8753927109,7.1072161539,50.79417572,53.675781751
Adams,20,0,Washington,23.416773969,14.33154142,36.9,61.560230671,16.142726551,12.672961577,32.125916343,5.3908640152,20.4,37.636149544,22.319093287,12.641673932,10.3,7.6,29.515894863,18.387442722,52012,25.747375574,63.424587655,19759,35.447138013,11.058251936,0.5870742446,1.3158560656,64.299812744,49.34460246,40.159120034
Addison,34,0,Vermont,9.683870326,13.030216513,25.5,72.455935472,21.680184872,6.2158494994,68.574047401,2.5695313252,9.6,23.731997495,15.142065142,1.48995149,9,10.1,28.620235187,7.6180512625,68878,48.343573413,74.078599063,36973,16.863657263,19.898304168,1.2739025776,1.9500716739,2.2908608985,50.047331837,78.430786779
Aiken,24,1,South Carolina,17.706604007,14.915906763,35.8,68.288996184,17.221758013,13.428511849,55.492540994,3.3457751812,22.8,39.768817944,12.884958498,1.566984718,13.9,12.5,36.305486834,16.57662433,52633,32.837216901,71.656423325,169401,21.752528025,19.421963271,24.789109864,1.1534760716,5.8553373357,51.684464673,36.99898188
Alachua,116,0,Florida,17.61444956,16.380852086,26.7,87.381941974,18.676607081,11.865669582,76.1809646,3.271466954,21.1,34.878596641,20.138059895,1.7439144651,8.8,18.7,35.857953838,13.705625518,51026,331.22667941,54.812051768,269956,17.981078398,14.01561736,19.959548964,6.2602794529,10.276119071,51.685459853,21.193437268
Alamance,16,0,North Carolina,17.954704364,17.098560247,32.4,80.327662756,16.316014209,14.14382019,61.246310775,3.6707494136,19.8,39.0236448,16.469261139,2.6347594876,12.6,14.4,33.320373975,17.543122024,50480,181.69073909,65.046285456,166436,22.239779855,16.899589031,19.894133481,1.765843928,12.917277512,52.572159869,28.558005968
Alameda,443,12,California,12.412219044,9.7327103382,19.4,99.70223887,19.889669435,5.7827935577,75.55903676,2.9999469474,9.8,25.675750794,23.660496726,6.9307720253,6.9,12.2,33.455977121,6.8417541206,101744,1620.6797066,53.26409133,1666753,20.549535534,13.829883612,10.29054695,31.750955301,22.381240652,50.799848568,0.3886057535
Albany,293,6,New York,14.208671407,14.531854664,27.3,92.059933466,20.015961267,4.4009381719,76.783304608,3.6792898291,15.3,37.755102041,15.550721134,0.8903392152,9.1,12,33.831885887,5.1180163713,64536,2106.6802276,56.546409752,307117,18.350986757,16.95542741,12.793821247,6.7837338864,6.100932218,51.571225299,9.6961249688
Albemarle,27,0,Virginia,12.788913677,13.818236126,20.8,77.380014146,20.721930408,9.9552599758,77.155322188,2.6742750836,9.6,24.896400801,12.959675374,0.7608419985,7.4,9.1,30.628450273,11.561713669,80392,173.60372767,62.520929774,108718,19.801688773,18.624330838,9.4308210232,5.5850917051,5.9493368164,52.197428209,45.022734162
Alcorn,6,0,Mississippi,22.494803544,19.024841559,35.3,31.370591251,15.003575599,14.397590361,58.600550964,4.1369472183,23.4,29.631787462,13.468697124,2.2335025381,18.6,14.9,33.75308573,18.184790732,40010,35.335638876,71.066059854,36925,22.76506432,18.450914015,12.178740691,0.4008124577,3.3662830061,51.187542316,66.35183636
Alexandria City,68,0,Virginia,14.814075957,15.073357652,23.9,100,21.688930506,11.126418498,83.091688789,2.2458146182,16.1,32.431578947,16.616469551,3.9374127672,6,10,31.74694474,12.44780909,99425,1988.3561421,42.854284857,160530,18.335513611,11.502522893,21.999626238,6.7308291285,16.748894288,51.866317822,0
Allamakee,16,1,Iowa,14.527962439,16.187211296,35,71.688764829,19.219939964,7.9272315958,63.927927928,3.0681509639,18.1,16.503319633,10.024855012,1.9055509528,10.6,10.7,28.91731125,9.0301003344,53359,459.44362291,77.723686419,13832,23.510699826,22.722672065,1.6700404858,0.4916136495,6.954887218,49.255349913,73.963712491
Allegan,10,0,Michigan,14.210075459,16.273922329,33.5,68.162968548,19.113056517,5.4587306807,57.594100814,3.2664406562,13.6,23.566540194,12.103575246,2.2449221998,8.8,9.1,32.265225135,6.5379071779,62247,132.95660121,82.311627907,117327,24.181987096,16.546915885,1.3142754865,0.897491626,7.4254008029,50.041337459,64.467542726
Allegany,16,1,New York,14.416292355,16.559035378,35.9,62.364646754,20.052656738,5.8537727565,61.366776491,5.6317763733,22.8,33.851891316,14.143094842,2.107598447,10.9,12.4,35.835428795,6.9081989626,46262,27.253401868,75.145760453,46430,20.223993108,18.985569675,1.277191471,1.2944217101,1.6777945294,49.237561921,78.739835737
Allegheny,552,3,Pennsylvania,12.731567892,16.991038873,28.1,91.993038776,22.019380082,4.8607007458,79.386394225,4.0390967328,15,32.613951783,13.830438262,0.7503648261,9.4,13.1,36.422901798,5.4988366401,59881,271.51628834,64.726001933,1218452,18.691667788,18.907351295,13.174010958,4.1025826212,2.1799791867,51.668510536,2.4862917175
Allen,59,2,Indiana,17.705718867,19.774598017,32.3,78.191197454,17.796320613,9.7108854332,66.798008047,3.1542277254,21,35.785551907,11.785701664,1.7987772555,10.4,13.3,30.987147845,10.99730824,54473,162.46093847,68.257142857,375351,25.684492648,14.577821825,11.574766019,4.3764369883,7.6080788382,51.122282877,11.879694593
Allen,39,3,Louisiana,21.312153507,22.038987631,37,73.187393262,20.523413298,9.3275852416,44.729496212,5.6238615665,22.7,38.015955602,11.484771574,3.6802030457,19.2,12.9,36.138614429,12.251709541,44395,51.51393996,74.090909091,25605,22.042569811,15.012692833,22.315953915,0.6678383128,2.2534661199,43.307947666,69.42244993
Allen,15,0,Ohio,16.502712331,20.184418116,34,75.834892929,16.742802085,7.6961444461,61.946189786,4.4864695434,18.7,41.030454735,13.636363636,1.3861138861,13.2,15,37.551160901,8.7179667452,50301,75.437157285,66.487406567,102663,23.053096052,17.647058824,12.357908886,0.7880151564,3.1637493547,49.556315323,25.890850269
Amelia,6,0,Virginia,15.539960662,17.359524965,41.3,7.5965327029,16.614805152,13.600381497,49.550956658,3.2211538462,13.2,28.592005762,12.334801762,1.7621145374,14.9,11.1,34.90847698,15.505560527,57280,24.60848422,84.276466903,13013,20.471835856,19.795589026,20.387305003,0.6147698455,2.8586797818,50.695458388,100
Amherst,6,0,Virginia,16.059073072,16.907827746,35.2,53.679720582,16.51968908,12.347516851,59.772432666,3.2568072611,18.5,31.03168156,12.75904104,2.0316944332,14.5,11.4,36.325825005,14.531293463,50580,80.182033267,77.623713052,31666,19.601465294,21.161498137,18.875134213,0.5494852523,2.595844123,51.468451967,63.663338794
Amite,6,1,Mississippi,24.682269669,18.693335466,39.9,26.936257711,11.886734864,18.367346939,41.044501655,6.0402684564,32.9,40.007716049,11.503531786,1.5136226034,15.2,19.4,36.513368086,22.4825025,38092,5.3247030379,85.048970618,12326,20.493266266,23.495051111,40.199578128,0.1460327762,1.3629725783,51.590134675,100
Anchorage,81,1,Alaska,14.991107133,15.041432026,31.8,100,21.4687602,12.741420575,70.964641724,5.4939124712,12.1,29.930266531,16.218919691,4.1202248261,7.8,12.1,29.739269905,14.687387951,82113,462.57206722,60.856708347,291538,24.469880427,11.090492492,5.4480033478,10.090622835,9.297930287,49.103032881,4.1171794151
Anderson,68,3,South Carolina,16.188643285,17.546998452,34.1,51.748020051,16.265240537,13.339790274,60.552024231,3.2563072114,21.3,34.342281879,12.84501771,1.777718372,14.2,11.7,34.719254391,16.319608839,51740,27.777994316,70.180864391,200482,22.870881176,18.049001905,15.975997845,1.0155525184,3.9235442583,51.85253539,37.925782628
Anderson,10,0,Tennessee,19.095370564,20.925017736,32.9,66.260698266,14.32528131,10.280744684,57.516853933,3.756964093,21.9,35.830993107,13.144161774,1.4350945858,10.8,12.6,35.819313299,12.759524289,50672,131.70824261,68.00183709,76482,21.021939803,20.077926832,3.904186606,1.5441541801,3.0726183939,51.340184619,34.661715183
Androscoggin,20,0,Maine,13.448855437,16.449206191,33.9,84.180423762,19.862958983,9.4466201655,66.612710525,3.2967231149,17.3,33.506313787,14.828472455,1.7543859649,12.2,14.2,35.675980745,11.381564474,49935,175.26220068,64.346793871,107679,21.66810613,17.729548008,4.1846599616,0.8766797611,1.9818163244,51.052665794,43.366882695
Angelina,10,0,Texas,20.900429989,15.856965822,40.7,65.127750055,15.738964327,21.657537309,54.348025712,4.3881693408,26.7,38.567358205,17.461878997,4.9024430234,14.3,18.9,34.799078495,26.20893468,46653,133.39580743,66.400285872,87092,25.582143021,16.325265237,14.833739035,1.0770219997,22.492306986,51.21480733,43.082366228
Anne Arundel,289,6,Maryland,12.171960063,13.675421228,29.4,91.911184847,19.249079205,5.5851944362,74.052549673,3.3407299025,9.6,25.965167712,13.477029732,1.5915637358,9.6,7,34.732863402,6.6657927509,97051,386.70917497,74.345252145,576031,22.239601688,14.678029481,17.133452887,4.2058500324,8.0832455198,50.465686743,5.3041349859
Anoka,36,0,Minnesota,11.88727407,14.520691847,30.4,95.265744581,21.11315441,4.5945471817,73.051817142,2.7631672652,7.4,27.282252625,11.775506946,1.9998403321,8.9,7.4,30.947822843,5.296881284,82284,156.55749357,80.20623108,353813,23.853278427,14.050359936,6.6755602536,4.8042327444,4.7400745592,49.980356855,13.50062265
Apache,42,0,Arizona,25.951201969,21.513107022,33.5,19.294443357,12.944995818,19.17271189,49.474891357,10.065327849,47.3,50.971668201,31.88630491,14.392764858,16.8,24.2,34.940378923,22.996955521,33652,14.330120694,78.391762687,71818,27.177030828,15.297000752,0.5054443176,0.449747974,6.3911554206,50.834052744,74.061075533
Appling,5,0,Georgia,22.395262135,20.18941483,38.8,19.960517657,14.310234745,19.145356662,41.586206897,4.3454223795,34,40.131578947,11.102831595,3.2041728763,17.7,14.9,36.04084231,23.820958601,42781,36.675704882,73.046991919,18507,24.714972713,17.23131788,18.87393959,0.837520938,10.244772248,50.072945372,71.441105506
Arapahoe,500,10,Colorado,11.684058075,13.263552471,22.1,98.142667084,17.881841129,8.5250561118,71.496995835,3.2228447278,10.3,28.105155792,16.545536889,2.973969678,7,11.2,28.252614258,10.289384327,76665,453.79536579,63.071489609,651215,23.555507782,13.062506238,10.514806938,6.4720560798,19.488341024,50.444476862,1.5753413881
Arlington,150,2,Virginia,11.294389204,12.329356362,19.6,99.989404076,22.229709875,7.656820841,90.336562716,1.9957817031,7.3,19.93667755,15.580159873,2.7406782186,3.8,7.3,34.348907165,8.5649074799,120950,2106.1142605,43.454677413,237521,18.086400781,10.613377343,9.0383587135,11.033971733,15.790182763,49.895377672,0
Armstrong,12,0,Pennsylvania,16.276178514,18.726868837,42.3,78.526566194,19.40500516,5.7494184114,56.13367467,5.0236406619,13.6,30.543146015,10.14159292,0.9026548673,12,11.9,36.079385909,6.5368065755,49436,44.426385435,76.255805645,65263,19.168594763,21.969569281,0.8779859951,0.3064523543,0.7952438595,50.198427899,67.486691519
Ascension,284,7,Louisiana,16.66091447,18.155452803,33.1,72.706244462,23.980304212,7.06536831,67.618492052,4.1426507248,14.2,31.41947726,10.832411164,2.2746833887,13.2,10.2,37.930878104,9.2693638541,77758,118.78662219,80.095664611,124672,26.767036704,11.818210986,23.23536961,1.4068916838,5.7430698152,50.626443789,13.216434268
Ashtabula,11,0,Ohio,16.773893778,21.275717753,37.6,73.135166557,16.983425395,8.3035131252,46.421879183,5.2658937329,24,37.096475812,14.896907216,1.8170103093,13.8,15.2,39.881392618,9.2985523967,46950,33.128643189,70.067991076,97493,22.074405342,19.067009939,3.4946098694,0.5118316187,4.3223616054,49.595355564,46.368858193
Assumption,56,0,Louisiana,21.59669348,21.032197224,42.1,35.369967124,18.729754342,10.268340186,37.801509851,6.6659210379,28.7,45.884237933,9.9135446686,1.325648415,16.3,14.7,36.162707449,12.920730366,48120,26.933937125,77.380140877,22300,21.488789238,18.02690583,29.381165919,0.4304932735,3.1434977578,51.484304933,44.993808975
Atlantic,98,1,New Jersey,20.650695155,15.6441948,29.8,91.388786701,17.004453804,10.463773958,59.283794163,5.8847262732,19.1,40.754382612,25.077904734,3.1409210071,12.3,12.7,38.071082272,12.778644672,60826,288.49412843,67.420950398,265429,21.228652483,17.93737685,14.563970026,8.3024085537,19.221336026,51.573113714,12.71357754
Attala,14,0,Mississippi,24.11024276,19.384917098,37.3,33.152729503,12.48985767,14.450944792,49.405195436,5.6734517107,32.6,43.736730361,16.850068776,3.3012379642,19.7,20.1,32.949481113,18.908382066,36761,24.261520311,70.781315753,18365,25.161992921,19.172338688,43.07650422,0.3866049551,2.1453852437,52.638170433,64.306890207
Auglaize,6,0,Ohio,14.566995823,17.454950225,38.3,77.716598838,18.5046004,5.6595210764,64.713350913,3.3007334963,8.2,25.22103728,10.833790455,1.398793198,11.2,10.4,34.453204148,6.3731782829,63754,18.69664528,76.499492603,45804,24.115797747,18.395773295,0.5851017378,0.580735307,1.772770937,50.037114662,39.136869138
Augusta,7,0,Virginia,14.207762165,15.833912222,33.5,50.781016949,16.241964219,11.1581822,51.241351241,2.6894534424,12.2,21.943790669,9.9032541777,0.580474934,16.6,7.7,33.353853119,13.137918954,60556,55.569979345,78.881796771,75457,19.033356746,21.041122759,4.3786527426,0.6705805956,2.875810064,49.27707171,66.437966102
Autauga,12,0,Alabama,20.882987328,18.08155718,33.3,69.130124059,15.026031257,8.7216859511,62.009973681,3.6290788612,19.3,26.242679081,14.663461538,1.2019230769,11.1,13.2,35.905406064,11.14898915,59338,88.457040416,74.894624674,55601,23.67403464,15.562669736,19.343177281,1.2247981151,2.9657739969,51.448714951,42.002162321
Avoyelles,36,1,Louisiana,24.494734265,22.94656752,44.7,24.35766406,19.004419687,10.242020344,41.715198197,5.7206295305,36.9,44.414311046,13.586413586,2.997002997,13.1,17.4,37.511750718,13.475827906,37731,18.076730066,70.348027842,40462,23.590035095,16.929464683,29.556126736,0.6425782215,1.9870495774,49.562552518,63.781997956
Baca,9,0,Colorado,15.613659835,15.17142555,30.8,81.309398099,15.884236424,15.795586527,65.687583445,1.8393898609,29.3,22.052704577,11.326860841,1.5533980583,15.1,13.1,26.431645242,15.989304813,38294,56.013947373,71.741778319,3585,22.370990237,24.714086471,0.7531380753,0.3905160391,11.018131102,49.790794979,100
Bacon,6,0,Georgia,20.004145373,19.37887099,37.4,60.724585436,15.132918768,19.383212075,37.895778364,3.8164919913,33.6,43.046357616,10.335917313,2.1963824289,18.4,13.9,36.434163209,23.627235645,38775,47.837965156,68.356026223,11185,25.480554314,16.0393384,16.092981672,0.670540903,8.7080911936,51.113097899,69.286229272
Baker,11,0,Florida,19.933229887,22.731956418,37.9,41.117462659,19.230749024,11.966438953,40.96536375,3.3869744713,21.7,30.173847317,11.850060459,2.9625151149,15.5,15.2,37.177027842,14.793957864,52804,26.04254203,75.64057971,28355,23.681890319,14.159760183,13.814142127,0.7088696879,2.666196438,47.391994357,59.491056611
Baldwin,29,1,Alabama,17.50913436,17.489032597,31,73.713548953,17.958310103,11.333404467,67.371619818,3.6153821564,13.9,24.139601453,13.566200931,1.2707917498,10.7,11.6,33.305868141,14.348524769,57588,86.997429882,73.619343186,218022,21.607911128,20.443349754,8.783975929,1.150342626,4.6467787654,51.538376861,42.279099114
Baldwin,11,1,Georgia,23.518849376,19.817938403,37.1,63.845144357,14.379550372,15.912636505,55.464560788,5.0387596899,31.3,49.058380414,20.717884131,1.6057934509,11.6,20.9,38.61825744,19.420776667,42727,89.968720319,55.861555638,44823,18.764919796,16.011868907,42.20377931,1.6866340941,2.226535484,49.262655333,35.139982502
Baltimore,491,4,Maryland,13.813202217,13.277830309,30.9,96.349696719,17.169414171,6.1364451946,70.305904231,4.0416017195,13,34.27217271,15.812355151,1.6462878606,10.7,11,34.082272449,7.1742029385,75836,717.77082683,65.718266739,828431,21.598781311,17.178256246,28.994931382,6.3326939721,5.6528546131,52.595931345,6.5338018879
Baltimore City,343,6,Maryland,18.766013095,20.262595245,34.9,99.608832117,18.577861884,7.6409224371,63.904103486,5.6785317403,26.1,62.632552112,22.51304581,2.0481405854,12.5,21.3,42.155910126,9.020021184,50501,1094.6949643,47.348974148,602495,20.444485016,14.006257313,61.902588403,2.7656661051,5.4873484427,53.13239114,0
Bamberg,5,0,South Carolina,22.696039386,17.8340138,37.2,6.8743353975,13.260813894,13.185982809,59.402579769,6.5130260521,39.1,54.968509447,16.230366492,3.2286212914,19.1,20.7,41.28767705,16.158420853,36230,22.519551113,71.634083364,14275,19.082311734,21.695271454,59.80385289,0.5253940455,2.2276707531,51.901926445,54.506786764
Bannock,5,0,Idaho,14.893500207,14.424020575,32,74.696700829,15.820824662,10.723097628,66.329621571,2.7323321979,15.5,23.331248325,15.595727198,2.4157764996,9.4,13.7,31.76398284,14.079879181,51300,251.48825169,68.233844558,87138,26.221625468,14.230301361,0.9616929468,1.7007505336,8.775735041,50.276572793,15.729306245
Barnstable,330,6,Massachusetts,10.040827353,11.853906316,21.4,91.578040465,20.407090865,3.5225606776,66.467985907,4.279630028,9.9,28.954572017,17.323794383,0.8426073132,8.8,7.9,29.651999454,4.0722649484,69001,65.380734788,79.53060705,213413,15.074995431,30.597480004,3.1071209345,1.6137723569,3.2022416629,52.162239414,7.483046765
Barrow,22,2,Georgia,17.056110801,17.083548591,38.4,65.255813283,17.299982454,16.872808094,55.612199267,3.2850119753,15,33.426594021,13.6875,2.1458333333,17.5,10,36.036047252,20.991871592,61413,41.58491442,72.700343615,80809,25.94017993,12.44663342,11.876152409,3.9438676385,11.52965635,50.999269883,30.06184497
Barry,5,0,Michigan,12.85412236,15.997102557,37.2,56.660977135,20.470069887,5.3673120729,57.303370787,3.4076553815,10.8,25.658041906,11.439195101,1.8810148731,17.1,9.5,37.560050462,6.1538033344,64121,7.7098376516,82.315436242,61157,22.097225175,18.401818271,0.5919191589,0.485635332,3.12474451,49.663979594,77.128082064
Bartholomew,45,0,Indiana,16.108504549,18.588754061,32.3,64.251113368,16.887771284,9.8855313363,66.686315408,2.6161828016,12.6,31.742855677,11.729686243,2.5905068383,11.7,10.9,33.41938676,11.015984057,63067,144.49777063,71.322113107,82753,23.792490907,16.297898566,2.1147269585,7.8788684398,6.9266371008,49.697291941,33.703153892
Bartow,160,7,Georgia,16.631131657,19.176366416,31.4,66.62340126,17.563821108,17.924706667,54.559573996,3.779458424,17.1,31.142890911,15.5385037,2.8226911483,13.8,11.4,35.555309028,21.710424351,57409,148.89333081,66.011619501,106408,24.135403353,14.017743027,10.810277423,1.0732275769,8.794451545,50.682279528,35.227692523
Bastrop,10,0,Texas,20.343852258,15.633213058,38.4,47.513179005,19.331467398,21.75716118,49.107414545,3.3621749295,19.2,29.676190476,15.43377227,5.0542215337,11.7,12.5,32.855915843,26.079277059,61883,72.291028992,77.451173802,86976,25.428853937,15.189247609,6.6731052244,0.9301416483,38.726775202,49.071008094,63.85244907
Bay,23,1,Florida,19.769132811,22.708204482,29.1,68.08625305,17.625027511,14.834860487,61.194865521,3.9753055988,20.5,36.682889344,16.875183986,1.9281719164,11.4,15.6,36.510474249,17.940277239,51777,181.5096438,63.455319876,185287,21.459141764,17.096720223,11.214494271,2.279166914,6.7063528472,50.385617987,11.999857864
Bay,24,0,Michigan,14.504552641,17.791812576,35.9,85.870967143,19.782330322,6.1048088631,66.296731338,4.7863044169,24.8,40.048657247,12.524305158,0.8463913988,8.9,12.4,36.197226091,7.2123437701,50576,291.11479816,77.69930054,103923,20.288097919,20.394907768,1.6685430559,0.609104818,5.4222838063,50.859771177,30.311493816
Beadle,21,1,South Dakota,12.979679951,15.617401318,35.7,68.117024945,17.10041966,13.46808221,53.653762505,2.5948103792,18.3,32.471863276,12.707917498,4.8569527611,8.8,12.9,26.476957713,16.576086957,49712,49.86478234,66.936936937,18883,27.58036329,16.994121697,0.9161679818,11.380606895,11.057565006,49.060001059,27.365214392
Beaufort,9,0,North Carolina,18.956978723,17.69732422,39.3,53.135534664,14.023477356,13.93614934,58.40523963,4.5595014945,27.5,41.31127325,14.905362776,1.0778128286,11,16.2,31.521687882,17.349425112,46411,53.163639,70.447606727,47079,20.125746086,23.961851356,24.348435608,0.5480150386,8.0056925593,52.235603985,65.600201009
Beaufort,148,3,South Carolina,12.364059401,12.818830372,23.5,83.074343691,20.19582666,15.348488974,63.72785727,3.2244395302,20.1,34.446758137,17.061400252,2.0639988121,9.1,9.6,29.651224741,17.838939857,65843,29.698368261,71.604798391,188715,18.558673131,27.259094402,17.528018441,1.3883369102,11.15968524,50.997006067,19.646434449
Beauregard,15,0,Louisiana,19.8806091,20.721538129,36.1,15.462500701,19.897386611,9.5390460954,53.0787135,5.3156374639,18.7,32.148769451,11.598626478,2.4799694773,14,12.3,34.196473704,12.248881272,57005,71.93825376,77.744156139,37253,24.610098516,15.759804579,12.01513972,0.6576651545,3.8171422436,49.298043111,66.494642957
Beaver,69,6,Pennsylvania,14.951930276,19.220431873,33.2,84.353139165,20.270832906,4.920310269,68.052741006,4.5481042626,16.3,33.742711822,10.540617849,1.0368993135,12.8,11.7,37.249785757,5.6542744841,54823,86.853488021,73.262069842,164742,19.417027837,21.495429217,6.2582705078,0.5760522514,1.6352842627,51.436185065,25.827523323
Bedford,8,0,Tennessee,21.939146072,22.692534088,33.6,49.496204891,15.716806178,14.395969823,41.28846943,3.749028749,22.8,36.278303829,14.629141014,3.2248607446,10.9,11.8,36.252517716,18.296730457,49860,80.48438595,68.190972634,49038,25.398670419,15.084220401,7.587992985,1.0644806069,12.56780456,50.874831763,55.60166896
Belknap,14,0,New Hampshire,12.06237751,14.268955146,28.6,87.193782452,19.030085881,7.6264920249,66.032439177,2.5182959957,11.6,31.521355454,15.982015124,1.1853668506,8.9,8.7,29.372984598,9.0979246479,64777,74.645239477,76.910950321,61022,18.486775261,22.131362459,0.5653698666,1.122545967,1.6944708466,50.606338698,66.279456797
Bell,58,1,Texas,20.289556752,15.179414783,34.8,77.680145696,20.343420575,13.260658306,68.957988623,4.1189287974,19.1,33.517047318,14.917053749,3.0347268303,11.1,18.7,36.284475088,16.67568168,54292,229.50572327,54.267679078,355642,27.701171403,10.849393491,22.157394234,3.2577704546,25.284415227,50.3123928,15.186229794
Belmont,17,0,Ohio,18.022422237,17.49012387,35,47.390625,18.110092429,6.5468624729,57.839160005,5.4727344056,17.7,33.173943717,8.6188243779,0.576992427,13.3,13.9,39.478301461,7.4127831631,48989,97.309627763,76.416030534,67505,18.915635879,20.845863269,4.1952447967,0.4666321013,1.0058514184,48.882305014,54.664772727
Beltrami,5,0,Minnesota,15.219191285,19.420664093,33.8,79.802889159,23.516881832,9.0029821875,67.538577343,4.1016273663,23.6,46.6282823,14.581484768,2.2774327122,9.8,12.8,31.259259415,9.9340048628,47073,96.318335489,67.176191303,46847,25.122206331,16.112024249,0.7428437253,0.7513821589,2.4334535829,50.037355647,67.089689933
Bennington,23,0,Vermont,12.626462058,14.71692596,29.6,100,18.475927468,5.9519796232,62.433784579,3.1461656107,16.5,38.58957512,17.045454545,1.525974026,9.4,12,30.378918018,7.3343298455,52510,78.030774105,73.343605547,35631,18.961017092,22.907019169,1.1394572142,1.2432993741,2.1610395442,51.26996155,64.511784512
Benton,42,0,Arkansas,16.233360057,16.513156719,29.3,77.304496722,17.615493853,10.426607884,61.882773715,2.8808666409,12.1,22.838375912,11.106061467,2.8461057774,9,11.1,30.302485455,12.854291417,68978,108.4527881,66.379739858,272608,26.253448175,13.410098016,1.7893825566,4.0831523653,16.864875572,50.264849161,25.160048613
Benton,7,0,Iowa,12.474054176,14.930812749,35.6,50.253106305,21.60872243,5.0121608088,69.778565102,2.7029050614,9,25.112331503,8.0256031512,1.0241260463,11.5,9.5,28.442408022,5.8432051111,62799,216.88933946,82.335680751,25642,23.352312612,18.590593557,0.5966773263,0.3704859215,1.5014429452,50.140394665,80.656542414
Benton,5,0,Mississippi,21.613185772,18.33024885,39.9,79.745675335,13.792155337,15.594951923,39.729458918,5.5555555556,32.8,34.444444444,12,1.408,19.9,17.3,34.688989175,19.38505396,35184,14.912087614,83.349818661,8271,21.678152581,18.703905211,35.062265748,0.0846330553,2.7687099504,50.429210494,100
